HPSA Name,HPSA ID,Designation Type,HPSA Discipline Class,HPSA Score,Primary State Abbreviation,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA Degree of Shortage,Withdrawn Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,HPSA Population Type,Rural Status,Common County Name,Common State Abbreviation,State and County Federal Information Processing Standard Code,HPSA Component Name,HPSA Component Source Identification Number,HPSA Component Type Description,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Data Warehouse Record Create Date
LI-Cumberland Eastern Sandhills,1377357744,HPSA Population,Primary Care,18,NC,Designated,04/08/2026,04/08/2026,Not applicable,,0.0000,18806.0,12.8,,Low Income Population HPSA,Partially Rural,"Cumberland County, NC",NC,37051,Census Tract 37; Cumberland County; North Carolina,,Census Tract,0,18806,3000:1,6.2700,08/29/2026
LI-Cumberland Eastern Sandhills,1377357744,HPSA Population,Primary Care,18,NC,Designated,04/08/2026,04/08/2026,Not applicable,,0.0000,18806.0,12.8,,Low Income Population HPSA,Non-Rural,"Cumberland County, NC",NC,37051,Census Tract 14.02; Cumberland County; North Carolina,,Census Tract,0,18806,3000:1,6.2700,08/29/2026
LI-Cumberland Eastern Sandhills,1377357744,HPSA Population,Primary Care,18,NC,Designated,04/08/2026,04/08/2026,Not applicable,,0.0000,18806.0,12.8,,Low Income Population HPSA,Non-Rural,"Cumberland County, NC",NC,37051,Census Tract 28.02; Cumberland County; North Carolina,,Census Tract,0,18806,3000:1,6.2700,08/29/2026
LI-Cumberland Eastern Sandhills,1377357744,HPSA Population,Primary Care,18,NC,Designated,04/08/2026,04/08/2026,Not applicable,,0.0000,18806.0,12.8,,Low Income Population HPSA,Non-Rural,"Cumberland County, NC",NC,37051,Census Tract 2; Cumberland County; North Carolina,,Census Tract,0,18806,3000:1,6.2700,08/29/2026
LI-Cumberland Eastern Sandhills,1377357744,HPSA Population,Primary Care,18,NC,Designated,04/08/2026,04/08/2026,Not applicable,,0.0000,18806.0,12.8,,Low Income Population HPSA,Non-Rural,"Cumberland County, NC",NC,37051,Census Tract 29; Cumberland County; North Carolina,,Census Tract,0,18806,3000:1,6.2700,08/29/2026
LI-Cumberland Eastern Sandhills,1377357744,HPSA Population,Primary Care,18,NC,Designated,04/08/2026,04/08/2026,Not applicable,,0.0000,18806.0,12.8,,Low Income Population HPSA,Non-Rural,"Cumberland County, NC",NC,37051,Census Tract 30.03; Cumberland County; North Carolina,,Census Tract,0,18806,3000:1,6.2700,08/29/2026
LI-Cumberland Eastern Sandhills,1377357744,HPSA Population,Primary Care,18,NC,Designated,04/08/2026,04/08/2026,Not applicable,,0.0000,18806.0,12.8,,Low Income Population HPSA,Non-Rural,"Cumberland County, NC",NC,37051,Census Tract 30.02; Cumberland County; North Carolina,,Census Tract,0,18806,3000:1,6.2700,08/29/2026
LI-Cumberland Eastern Sandhills,1377357744,HPSA Population,Primary Care,18,NC,Designated,04/08/2026,04/08/2026,Not applicable,,0.0000,18806.0,12.8,,Low Income Population HPSA,Non-Rural,"Cumberland County, NC",NC,37051,Census Tract 30.04; Cumberland County; North Carolina,,Census Tract,0,18806,3000:1,6.2700,08/29/2026
South East Cumberland,1379993715,Geographic HPSA,Primary Care,0,NC,Withdrawn,05/26/1978,08/15/1995,Not applicable,08/15/1995,3.0000,23521.0,38.1,7840:1,Geographic Population,,"Cumberland County, NC",NC,37051,Cedar Creek,,County Subdivision,10500,13021,3500:1,,08/29/2026
South East Cumberland,1379993715,Geographic HPSA,Primary Care,0,NC,Withdrawn,05/26/1978,08/15/1995,Not applicable,08/15/1995,3.0000,23521.0,38.1,7840:1,Geographic Population,,"Cumberland County, NC",NC,37051,Grays Creek,,County Subdivision,10500,13021,3500:1,,08/29/2026
South East Cumberland,1379993715,Geographic HPSA,Primary Care,0,NC,Withdrawn,05/26/1978,08/15/1995,Not applicable,08/15/1995,3.0000,23521.0,38.1,7840:1,Geographic Population,,"Cumberland County, NC",NC,37051,Eastover,,County Subdivision,10500,13021,3500:1,,08/29/2026
South Cumberland,1379993716,Geographic HPSA,Primary Care,0,NC,Withdrawn,09/15/1978,03/19/1984,Not applicable,03/19/1984,0.5000,4300.0,17.0,8600:1,Geographic Population,,"Cumberland County, NC",NC,37051,Grays Creek,,County Subdivision,1750,2550,3500:1,,08/29/2026
STEDMAN WADE HEALTH SERVICES INC,1379993797,Federally Qualified Health Center,Primary Care,19,NC,Designated,10/26/2002,09/22/2025,,,,105035.0,,,,Non-Rural,"Cumberland County, NC",NC,37051,STEDMAN WADE HEALTH SERVICES INC,1379993797,Unknown,,,,,08/29/2026
Community Health Interventions & Sickle Cell Agency,13799937HB,Federally Qualified Health Center,Primary Care,15,NC,Withdrawn,03/15/2017,08/22/2026,,06/25/2019,,,,,,Non-Rural,"Cumberland County, NC",NC,37051,Community Health Interventions & Sickle Cell Agency,13799937HB,Unknown,,,,,08/29/2026
Currituck County,1371157606,Geographic HPSA,Primary Care,15,NC,Withdrawn,09/17/1979,01/02/2024,Not applicable,01/02/2024,2.4000,24042.0,10.3,10018:1,Geographic Population,,"Currituck County, NC",NC,37053,Currituck,,Single County,8400,15642,3500:1,4.4700,08/29/2026
Dare,137055,Geographic HPSA,Primary Care,0,NC,Withdrawn,09/17/1979,03/19/1984,Not applicable,03/19/1984,4.0000,21332.0,10.0,5333:1,Geographic Population,,"Dare County, NC",NC,37055,Dare,,Single County,14000,7332,3500:1,,08/29/2026
Hatteras/Ocracoke,1374866251,Geographic HPSA,Primary Care,11,NC,Withdrawn,03/19/1984,01/02/2024,Not applicable,01/02/2024,1.0000,4759.0,7.5,4759:1,Geographic Population,,"Dare County, NC",NC,37055,Hatteras township,,County Subdivision,3500,1259,3500:1,0.3600,08/29/2026
Hatteras/Ocracoke,1374866251,Geographic HPSA,Primary Care,11,NC,Withdrawn,03/19/1984,01/02/2024,Not applicable,01/02/2024,1.0000,4759.0,7.5,4759:1,Geographic Population,,"Dare County, NC",NC,37055,Kinnakeet township,,County Subdivision,3500,1259,3500:1,0.3600,08/29/2026
Manns Harbor,1379993730,Geographic HPSA,Primary Care,0,NC,Withdrawn,08/06/1984,03/15/1988,Not applicable,03/15/1988,3.0000,8106.0,15.0,2702:1,Geographic Population,,"Dare County, NC",NC,37055,East Lake,,County Subdivision,10500,-2394,3500:1,,08/29/2026
Manns Harbor,1379993730,Geographic HPSA,Primary Care,0,NC,Withdrawn,08/06/1984,03/15/1988,Not applicable,03/15/1988,3.0000,8106.0,15.0,2702:1,Geographic Population,,"Dare County, NC",NC,37055,Croatan,,County Subdivision,10500,-2394,3500:1,,08/29/2026
Manns Harbor,1379993730,Geographic HPSA,Primary Care,0,NC,Withdrawn,08/06/1984,03/15/1988,Not applicable,03/15/1988,3.0000,8106.0,15.0,2702:1,Geographic Population,,"Dare County, NC",NC,37055,Nags Head,,County Subdivision,10500,-2394,3500:1,,08/29/2026
MI-Davidson County,1373342666,HPSA Population,Primary Care,18,NC,Withdrawn,04/23/2019,07/01/2026,Not applicable,07/01/2026,0.1000,17883.0,15.4,178830:1,Other Population HPSA,Partially Rural,"Davidson County, NC",NC,37057,Davidson,,Single County,300,17583,3000:1,5.8600,08/29/2026
LI - Davidson County,1379237589,HPSA Population,Primary Care,16,NC,Designated,08/19/2025,08/19/2025,Not applicable,,8.9089,57844.0,13.8,6493:1,Low Income Population HPSA,Partially Rural,"Davidson County, NC",NC,37057,Davidson,,Single County,26727,31117,3000:1,10.3711,08/29/2026
Davie,137059,Geographic HPSA,Primary Care,0,NC,Withdrawn,03/29/1978,03/19/1984,Not applicable,03/19/1984,8.0000,27571.0,8.4,3446:1,Geographic Population,,"Davie County, NC",NC,37059,Davie,,Single County,28000,-429,3500:1,,08/29/2026
LI - Davie Central,1379373865,HPSA Population,Primary Care,16,NC,Designated,08/19/2025,08/19/2025,Not applicable,,0.3473,6640.0,13.1,19119:1,Low Income Population HPSA,Partially Rural,"Davie County, NC",NC,37059,"Clarksville township, Davie County, North Carolina",,County Subdivision,1042,5598,3000:1,1.8627,08/29/2026
LI - Davie Central,1379373865,HPSA Population,Primary Care,16,NC,Designated,08/19/2025,08/19/2025,Not applicable,,0.3473,6640.0,13.1,19119:1,Low Income Population HPSA,Partially Rural,"Davie County, NC",NC,37059,"Jerusalem township, Davie County, North Carolina",,County Subdivision,1042,5598,3000:1,1.8627,08/29/2026
LI - Davie Central,1379373865,HPSA Population,Primary Care,16,NC,Designated,08/19/2025,08/19/2025,Not applicable,,0.3473,6640.0,13.1,19119:1,Low Income Population HPSA,Partially Rural,"Davie County, NC",NC,37059,"Mocksville township, Davie County, North Carolina",,County Subdivision,1042,5598,3000:1,1.8627,08/29/2026
LI - Duplin County,1372164529,HPSA Population,Primary Care,18,NC,Designated,10/19/2020,09/22/2025,Not applicable,,1.4178,21040.0,17.8,14840:1,Low Income Population HPSA,Rural,"Duplin County, NC",NC,37061,Duplin,,Single County,4253,16787,3000:1,5.5922,08/29/2026
MI-Duplin County,1373409655,HPSA Population,Primary Care,18,NC,Withdrawn,03/15/1996,07/07/2021,Not applicable,07/07/2021,1.3500,13995.0,26.9,10367:1,Other Population HPSA,Rural,"Duplin County, NC",NC,37061,Duplin,,Single County,4050,9945,3000:1,3.3100,08/29/2026
"GOSHEN MEDICAL CENTER, INC",1379993793,Federally Qualified Health Center,Primary Care,18,NC,Designated,10/26/2002,09/22/2025,,,,346678.0,,,,Rural,"Duplin County, NC",NC,37061,"GOSHEN MEDICAL CENTER, INC",1379993793,Unknown,,,,,08/29/2026
B & D INTEGRATED HEALTH SERVICES,1371631575,Federally Qualified Health Center Look A Like,Primary Care,16,NC,Designated,08/20/2026,08/20/2026,,,,375732.0,,,,Non-Rural,"Durham County, NC",NC,37063,B & D INTEGRATED HEALTH SERVICES,1371631575,Unknown,,,,,08/29/2026
FCC - Butner,1377216793,Correctional Facility,Primary Care,12,NC,Designated,01/17/2007,11/04/2021,12,,0.0000,4506.0,,,,Non-Rural,"Durham County, NC",NC,37063,FCC - Butner,1377216793,Unknown,,,1000:0,4.5100,08/29/2026
Lincoln,1379993718,Geographic HPSA,Primary Care,0,NC,Withdrawn,12/19/1978,03/15/1988,Not applicable,03/15/1988,13.1000,25721.0,34.0,1963:1,Geographic Population,,"Durham County, NC",NC,37063,10.01,,Census Tract,45850,-20129,3500:1,,08/29/2026
Lincoln,1379993718,Geographic HPSA,Primary Care,0,NC,Withdrawn,12/19/1978,03/15/1988,Not applicable,03/15/1988,13.1000,25721.0,34.0,1963:1,Geographic Population,,"Durham County, NC",NC,37063,9,,Census Tract,45850,-20129,3500:1,,08/29/2026
Lincoln,1379993718,Geographic HPSA,Primary Care,0,NC,Withdrawn,12/19/1978,03/15/1988,Not applicable,03/15/1988,13.1000,25721.0,34.0,1963:1,Geographic Population,,"Durham County, NC",NC,37063,11,,Census Tract,45850,-20129,3500:1,,08/29/2026
Lincoln,1379993718,Geographic HPSA,Primary Care,0,NC,Withdrawn,12/19/1978,03/15/1988,Not applicable,03/15/1988,13.1000,25721.0,34.0,1963:1,Geographic Population,,"Durham County, NC",NC,37063,13.01,,Census Tract,45850,-20129,3500:1,,08/29/2026
Lincoln,1379993718,Geographic HPSA,Primary Care,0,NC,Withdrawn,12/19/1978,03/15/1988,Not applicable,03/15/1988,13.1000,25721.0,34.0,1963:1,Geographic Population,,"Durham County, NC",NC,37063,14,,Census Tract,45850,-20129,3500:1,,08/29/2026
Medicaid - Durham County,1379993751,HPSA Population,Primary Care,0,NC,Withdrawn,05/02/1994,01/28/2002,Not applicable,01/28/2002,10.4000,29285.0,11.7,2816:1,Medicaid Eligible Population HPSA,,"Durham County, NC",NC,37063,Durham,,Single County,31200,-1915,3000:1,,08/29/2026
LINCOLN COMMUNITY HEALTH CENTER INCORPORATED,13799937A4,Federally Qualified Health Center,Primary Care,15,NC,Designated,11/27/2013,09/22/2025,,,,73730.0,,,,Non-Rural,"Durham County, NC",NC,37063,LINCOLN COMMUNITY HEALTH CENTER INCORPORATED,13799937A4,Unknown,,,,,08/29/2026
Low Income/Migrant Farmworker - Edgecombe County,1372453379,HPSA Population,Primary Care,19,NC,Withdrawn,06/20/2006,06/15/2020,Not applicable,06/15/2020,1.5500,29653.0,25.2,19131:1,Low Income Migrant Farmworker Population HPSA,Partially Rural,"Edgecombe County, NC",NC,37065,Edgecombe,,Single County,4650,25003,3000:1,8.3300,08/29/2026
LI - Edgecombe County,1373494383,HPSA Population,Primary Care,22,NC,Designated,03/30/2020,06/16/2025,Not applicable,,1.7310,20677.0,21.8,11945:1,Low Income Population HPSA,Partially Rural,"Edgecombe County, NC",NC,37065,Edgecombe,,Single County,5193,15484,3000:1,5.1590,08/29/2026
VIDANT FAMILY MEDICINE PINETOPS,1376542484,Rural Health Clinic,Primary Care,19,NC,Designated,08/18/2019,09/22/2025,,,,139215.0,,,,Non-Rural,"Edgecombe County, NC",NC,37065,VIDANT FAMILY MEDICINE PINETOPS,1376542484,Unknown,,,,,08/29/2026
Rocky Mount OIC Family Medical Center,13799937E5,Federally Qualified Health Center Look A Like,Primary Care,5,NC,Withdrawn,07/10/2007,08/22/2026,,06/25/2019,,,,,,Non-Rural,"Edgecombe County, NC",NC,37065,Rocky Mount OIC Family Medical Center,13799937E5,Unknown,,,,,08/29/2026
OPPORTUNITIES INDUSTRIALIZATION CENTER INC,13799937GU,Federally Qualified Health Center,Primary Care,22,NC,Designated,06/01/2012,09/11/2025,,,,39527.0,,,,Non-Rural,"Edgecombe County, NC",NC,37065,OPPORTUNITIES INDUSTRIALIZATION CENTER INC,13799937GU,Unknown,,,,,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 34.04; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 15; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 19.01; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 8.01; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 8.02; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 13; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 14; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 2; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 3.01; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 3.02; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 4; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 5; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 6; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 20.02; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 17; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 18; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 20.01; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 27.01; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 27.02; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 27.04; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 27.05; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 28.06; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 16.01; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 16.02; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 33.09; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 30.02; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 29.01; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 29.03; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 30.03; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 28.04; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 33.10; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 34.03; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 35; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 37.01; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI-Forsyth Central,1371214127,HPSA Population,Primary Care,20,NC,Designated,02/26/2026,02/26/2026,Not applicable,,4.0389,63642.0,26.2,15757:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Census Tract 7; Forsyth County; North Carolina,,Census Tract,12117,51525,3000:1,17.1711,08/29/2026
LI - Forsyth County,1377882610,HPSA Population,Primary Care,15,NC,Proposed For Withdrawal,09/09/2021,09/22/2025,Not applicable,,26.8800,132792.0,16.8,4940:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,Forsyth,,Single County,80640,52152,3000:1,17.3800,08/29/2026
LI-Winston-Salem,1379220218,HPSA Population,Primary Care,22,NC,Withdrawn,04/18/2003,01/02/2024,Not applicable,01/02/2024,2.3300,33150.0,44.0,14227:1,Low Income Population HPSA,,"Forsyth County, NC",NC,37067,1,,Census Tract,6990,26160,3000:1,8.7200,08/29/2026
LI-Winston-Salem,1379220218,HPSA Population,Primary Care,22,NC,Withdrawn,04/18/2003,01/02/2024,Not applicable,01/02/2024,2.3300,33150.0,44.0,14227:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,15,,Census Tract,6990,26160,3000:1,8.7200,08/29/2026
LI-Winston-Salem,1379220218,HPSA Population,Primary Care,22,NC,Withdrawn,04/18/2003,01/02/2024,Not applicable,01/02/2024,2.3300,33150.0,44.0,14227:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,2,,Census Tract,6990,26160,3000:1,8.7200,08/29/2026
LI-Winston-Salem,1379220218,HPSA Population,Primary Care,22,NC,Withdrawn,04/18/2003,01/02/2024,Not applicable,01/02/2024,2.3300,33150.0,44.0,14227:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,16.01,,Census Tract,6990,26160,3000:1,8.7200,08/29/2026
LI-Winston-Salem,1379220218,HPSA Population,Primary Care,22,NC,Withdrawn,04/18/2003,01/02/2024,Not applicable,01/02/2024,2.3300,33150.0,44.0,14227:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,3.01,,Census Tract,6990,26160,3000:1,8.7200,08/29/2026
LI-Winston-Salem,1379220218,HPSA Population,Primary Care,22,NC,Withdrawn,04/18/2003,01/02/2024,Not applicable,01/02/2024,2.3300,33150.0,44.0,14227:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,16.02,,Census Tract,6990,26160,3000:1,8.7200,08/29/2026
LI-Winston-Salem,1379220218,HPSA Population,Primary Care,22,NC,Withdrawn,04/18/2003,01/02/2024,Not applicable,01/02/2024,2.3300,33150.0,44.0,14227:1,Low Income Population HPSA,Non-Rural,"Forsyth County, NC",NC,37067,3.02,,Census Tract,6990,26160,3000:1,8.7200,08/29/2026
